,Measure_station_measure,ES_and_upper_buffer,Manual_or_automatic_mode,GK_and_EM,ES_and_lower_buffer,EM_and_ES,Elevate_and_measure,Elevat_and_measure_block,Elevator_and_sort,Elevator_and_sort_block,Measure_station_putter,Measure_station,Size_of_ball,Gatekeeper
G1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
G3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
G4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G9,0,0,0,1,0,0,1,0,0,0,0,1,0,0
G10,0,1,1,1,1,0,1,0,0,0,1,1,0,1
G11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
G12,1,0,0,0,0,0,1,0,0,0,0,0,0,0
G13,1,0,0,0,0,0,0,0,0,0,0,1,0,0
G14,1,0,0,0,0,0,0,0,0,0,0,1,0,0
G15,1,0,0,0,0,0,0,0,0,0,0,1,0,0
G16,1,0,0,0,0,0,0,0,0,0,0,1,0,0
G17,1,0,0,0,0,0,0,0,0,0,0,0,1,0
G18,1,0,0,0,0,0,0,0,0,0,0,0,1,0
G19,1,0,0,0,0,0,1,0,0,0,0,0,0,0
G20,0,1,0,0,0,0,0,0,1,0,0,0,0,0
G21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G24,0,1,0,0,0,0,0,0,1,0,0,0,0,0
G25,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G26,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G27,0,0,1,0,0,0,0,0,0,0,0,0,0,1
G28,0,0,0,1,0,0,0,0,0,0,0,0,0,1
G29,0,0,0,1,0,0,0,0,0,0,0,0,0,1
G30,0,0,0,1,0,0,1,0,0,0,0,0,0,0
G31,0,0,0,1,0,0,0,0,0,0,0,0,0,1
G32,0,0,0,0,1,0,0,0,1,0,0,0,0,0
G33,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G34,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G35,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G36,0,0,0,0,1,0,0,0,1,0,0,0,0,0
G37,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G38,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G39,0,0,0,0,0,1,1,0,0,0,0,0,0,0
G40,0,0,0,0,0,1,0,0,1,0,0,0,0,0
G41,0,0,0,0,0,0,1,0,0,0,0,1,0,0
G42,0,0,0,0,0,0,1,0,0,0,0,1,0,0
G43,0,0,0,0,0,0,1,0,0,0,1,0,0,0
G44,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G45,0,0,0,0,0,0,1,0,0,0,1,0,0,0
G46,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G47,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G48,0,0,0,0,0,0,0,0,1,0,0,0,1,0
G49,0,0,0,0,0,0,0,0,1,0,0,0,1,0
G50,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G51,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G53,0,0,0,0,0,0,0,0,0,1,0,0,0,0
G54,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G55,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G56,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G57,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G58,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G59,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G60,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G61,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G62,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G63,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G64,0,0,0,0,0,0,0,0,0,0,1,1,0,0
G65,0,0,0,0,0,0,0,0,0,0,1,1,0,0
