G1,Cod_ser
G2,Ircount_WSP
G3,Mer_FT
G4,Mer_BT
G5,Mer_HT
G6,Mvr_HT
G7,Mvrstzv_FT
G8,Mvrstzv_BT
G9,Mzs_HT
G10,timer_WSP
G11,timer_FS
G12,tklemme_FT
G13,tklemme_BT
G14,tklemme_HT
G15,ttimer_FT
G16,ttimer_BT
G17,ttimer_HT
G18,zuendung
G19,P1
G20,P2
G21,P3
G22,P4
G23,P5
G24,P6
G25,P7
G26,P8
G27,P9
G28,P10
G29,P11
G30,P12
G31,P13
G32,P14
G33,P15
G34,P16
G35,P17
G36,P18
G37,P19
G38,P20
G39,P21
G40,P22
G41,P23
G42,P24
G43,P25
G44,P26
G45,P27
G46,P28
G47,P29
G48,P30
G49,P31
G50,P32
G51,P33
G52,P34
G53,P35
G54,P36
G55,P37
G56,P38
G57,P39
G58,P40
G59,P41
G60,P42
G61,P43
G62,P44
G63,P45
G64,P46
G65,P47
G66,P48
G67,P49
G68,P50
G69,P51
G70,P52
G71,P53
G72,P54
G73,P55
G74,P56
