,Stop_System,Loadplatform_Notify_SwitchGlobal,Truck_Change_requested_color,Loadcrane_Change_requested_color,Loadcrane_Activity,Unloadcrane_1_Activity,Unloadcrane_1_Change_requested_color,Unloadcrane_2_Change_requested_color,Unloadcrane_2_Activity,Loadplatform_Notify_Switch,Restrict_behaviour_color_sensor_and_conveyors,Loadcrane_move_forward_and_backward,Loadcrane_notification_color_sensor,Loadcrane_stop_when_requested_color_detected,Loadcrane_lift_activity,Loadcrane_Open_Close_Lift_and_Lower_the_Gripper,Loadcrane_Open_Gripper,Loadcrane_Lifting_Gripper,Truck_move_forward_and_backward,Truck_notification_color_sensor,Truck_Stop_truck_when_requested_color_detected,Unloadcrane_1_move_forward_and_backward,Unloadcrane_1_notification_color_sensor,Unloadcrane_1_Stop_Unloadcrane_1_when_requested_color_detected,Unloadcrane_1_lift_activity,Unloadcrane_1_Open_Close_Lift_and_Lower_the_Gripper,Unloadcrane_1_Open_Gripper,Unloadcrane_1_Lifting_Gripper,Unloadcrane_2_move_forward_and_backward,Unloadcrane_2_notification_color_sensor,Unloadcrane_2_Stop_Unloadcrane_2_when_requested_color_detected,Unloadcrane_2_lift_ctivity,Unloadcrane_2_Open_Close_Lift_and_Lower_the_Gripper,Unloadcrane_2_Open_Gripper,Unloadcrane_2_Lifting_Gripper
G1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
G2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
G11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
G12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
G13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
G14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
G15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
