G1,Control_Destination,Loadcrane_Activity_monitor,Unloadcrane_1_Activity_monitor,Unloadcrane_2_Activity_monitor,Loadplatform_conveyor_motor,Loadcrane_Color_Sensor,Loadcrane_Color_Sending,Loadcrane_track_Motor,Loadcrane_notification_color_sensor_monitor,Loadcrane_lift_Motor,Truck_Color_Sensor,Truck_Color_Sending,Truck_notification_color_sensor_monitor,Unloadcrane_1_Color_Sensor,Unloadcrane_1_Color_Sending,Unloadcrane_1_track_Motor,Unloadcrane_1_notification_color_sensor_monitor,Unloadcrane_1_lift_Motor,Unloadcrane_2_Color_Sensor,Unloadcrane_2_Color_Sending,Unloadcrane_2_track_Motor,Unloadcrane_2_notification_color_sensor_monitor,Unloadcrane_2_lift_Motor,Loadcrane_Color_Changing,Truck_Color_Changing,Truck_Motor,Unloadcrane_1_Color_Changing,Unloadcrane_2_Color_Changing
G2,Stop_Button
G3,Start_Button
G4,Loadplatform_switch_sensor
G5,Loadplatform_pre_conveyor_motor
G6,Loadplatform_color_sensor
G7,Loadcrane_lift_switch_sensor
G8,Loadcrane_gripper_Motor
G9,Loadcrane_gripper_switch_sensor
G10,Unloadcrane_1_lift_switch_sensor
G11,Unloadcrane_1_gripper_Motor
G12,Unloadcrane_1_gripper_switch_sensor
G13,Unloadcrane_2_lift_switch_sensor
G14,Unloadcrane_2_gripper_Motor
G15,Unloadcrane_2_gripper_switch_sensor
